%
@relation cancer
@attribute BR_BR8T real
@attribute BR_BR10T real
@attribute BR_BR14T real
@attribute BR_BR16T real
@attribute BR_BR17T real
@attribute BR_BR20T real
@attribute BR_BR6T real
@attribute BR_BR15T real
@attribute BR_BR21T real
@attribute BR_BR29T real
@attribute BR_BR31T real
@attribute BR_BR32T real
@attribute BR_U1 real
@attribute BR_U16 real
@attribute BR_UX7 real
@attribute BR_UX8 real
@attribute BR_UX19 real
@attribute BR_B24T real
@attribute BR_B46T real
@attribute BR_B30T real
@attribute BR_B34T real
@attribute BR_B36T real
@attribute BR_B37T real
@attribute BR_B38T real
@attribute BR_B39T real
@attribute BR_B41T real
@attribute PR_PR29T real
@attribute PR_PR13BT real
@attribute PR_PR8T real
@attribute PR_PR21T real
@attribute PR_PR27T real
@attribute PR_PR9T real
@attribute PR_PR7T real
@attribute PR_PR19T real
@attribute PR_PR5T real
@attribute PR_PR24T real
@attribute PR_U40 real
@attribute PR_U41 real
@attribute PR_PR4 real
@attribute PR_PR3 real
@attribute PR_PR1 real
@attribute PR_PR10 real
@attribute PR_PR22 real
@attribute PR_PR12 real
@attribute PR_PR31 real
@attribute PR_PR30 real
@attribute PR_PR26 real
@attribute PR_PR16 real
@attribute PR_PR23 real
@attribute PR_PR6 real
@attribute PR_PR11 real
@attribute PR_PR17 real
@attribute LU_A_LU_A31T real
@attribute LU_A_LU_A34T real
@attribute LU_A_LU_A39T real
@attribute LU_A_LU_A8T real
@attribute LU_A_LU_A20T real
@attribute LU_A_LU_A5T real
@attribute LU_A_LU_A6T real
@attribute LU_A_LU_A17T real
@attribute LU_A_LU_A18T real
@attribute LU_S_LU_S19T real
@attribute LU_S_LU_S24T real
@attribute LU_S_LU_S25T real
@attribute LU_S_LU_S12T real
@attribute LU_S_LU_S13T real
@attribute LU_S_LU_S14T real
@attribute LU_S_LU_S11T real
@attribute LU_S_LU_S7T real
@attribute LUA_U17 real
@attribute LUA_UX4 real
@attribute LUA_LU40T real
@attribute LUA_LU44T real
@attribute LUA_LU33T real
@attribute LUS_U2 real
@attribute LUS_U19 real
@attribute LUS_LU41T real
@attribute LUS_LU30T real
@attribute LUS_LU26T real
@attribute LUS_LU36T real
@attribute CO_CO7T real
@attribute CO_CO9T real
@attribute CO_CO42T real
@attribute CO_CO15T real
@attribute CO_CO40T real
@attribute CO_CO27T real
@attribute CO_CO30T real
@attribute CO_CO32T real
@attribute CO_CO20T real
@attribute CO_CO24T real
@attribute CO_CO8T real
@attribute CO_U6 real
@attribute CO_U12 real
@attribute CO_CO14T real
@attribute CO_CO21T real
@attribute CO_CO23T real
@attribute CO_CO5T real
@attribute CO_CO43T real
@attribute CO_CO44T real
@attribute CO_CO49T real
@attribute CO_CO51T real
@attribute CO_CO56T real
@attribute CO_CO61T real
@attribute class_label real
@data
50.53,20,36.68,219.82,113.56,20,20,20,61.82,302.24,93.27,228.76,20,20,42.88,212.75,155.73,1085.79,61.92,175.62,256.07,179.29,147.73,202.65,62.62,63.62,207.15,172.19,20,148.91,91.02,59.49,49.22,114.68,231.56,151.19,170.96,83.76,225.95,125.96,162,20,69.91,238.5,118.13,267.21,123.28,234.49,159.03,80.37,186.43,170.96,20,29.25,73.31,20,31.21,54.49,20,209.66,20,63.12,20,29.51,28.91,20,38.57,20,28.28,60.44,20,34.89,20,20,20,20,305.83,127.51,20,41.21,100.69,141.55,20,20,45.72,93.4,259.94,20,130.46,137.71,35.5,20,24.46,36.21,20,20,211.87,37.32,20,132.75,20,47.12,59.03,0
195.66,20,20,20,34.86,194.07,156.7,135.08,20,33.58,76.69,47.93,103.89,355.54,53.61,60.64,86.75,20,78.9,49.7,51.43,50.76,54.99,20,44.14,20,78.64,20,53.38,20,33.53,20,59.69,38.23,38.27,20.35,36.15,20,34.92,26.99,20,64.98,20,44.17,55.76,22.74,62.11,75.25,37.59,48.8,62.83,36.15,153.33,104.91,69.18,95.79,69.47,143.04,363.76,20,96.91,23.04,70.5,30.49,94.98,155.02,20,107.99,20,70.15,77.43,130.6,65.71,87.25,87.3,103.64,48.66,65.26,136.9,94.77,137.94,31.34,20,173.48,90.45,20,71.85,53.75,20,105.93,20,49.98,73.37,58.71,60.71,153.55,141.86,20,40.04,49.78,41.34,22.12,105.88,1
201.04,167.46,492.72,541.02,256,532.87,184.61,268,173.54,476.86,249.76,233.11,155.83,329.87,210.53,360.74,183.95,328.11,205.75,360.08,451.06,477.39,226.45,331.62,260.75,274.7,689.54,610.23,607.55,741.41,530.81,750.14,545.61,713.27,843.81,954.64,473.79,324.23,740.5,865.71,755,381.15,483.37,558.47,585.91,1054.64,978.75,865.33,841.4,661.18,901.25,473.79,376.54,423.67,321.12,179.74,241.65,194.62,225.04,149.3,185.92,147.28,120.04,163.27,118.72,274.5,181.98,137.71,235.32,380.97,335.88,470.54,247.66,300.3,265.06,163.85,187.67,205.82,252.18,228.69,267.82,289.17,116.41,144.74,184.88,230.64,182.81,145.32,235.46,248.93,97.16,178.5,270,277.91,236.98,448.54,170.41,308.41,247.87,314.31,185.53,174.05,216.44,0
20,98.56,116.98,25.61,64.75,195.17,148.12,45.39,176.79,152.24,46.64,89.32,20,395.33,27.29,104.83,136.91,20,20,20,20,20,20,36.85,20,46.46,93.98,132.92,186.34,148.91,40.24,93.77,137.19,117.48,177.59,80.44,164.12,148.6,98.6,177.94,128,94.07,99.87,134.47,134.19,190.46,47.06,128.62,143.61,119.61,135.96,164.12,187.75,91.8,116.68,41.48,36.25,33.08,42.68,23.3,155.26,75.14,32.39,20,20,155.02,38.57,27.74,20,233.11,206.11,194.4,89.97,171.45,20,20,33.76,101.4,248.06,45.33,112.77,83.92,72.29,168.35,114.31,61.95,102.5,25.88,163.34,157.83,70.06,32.64,55.76,86.11,131.22,20,111.46,89.38,67.69,81.99,78.83,21.16,52.47,2
106.43,99.43,134.83,229.43,104.59,203.94,20,117.79,121.48,169.03,143.02,135.08,74.35,373.51,108.19,261.05,177.68,245,49.94,166.78,126.43,113.41,71.17,131.13,60.57,89.88,53.71,94.66,80.55,37.75,44.07,61.5,55.5,53.15,50.04,70.75,122.11,72.95,74.97,72.98,54,99.89,81.89,81.46,56.7,65.38,113.87,75.25,86.74,71.76,72.1,122.11,49.02,136.18,37.17,84.93,74.51,68.12,45.59,44.47,82.08,56.11,50.49,69.83,71.23,198.47,32.64,91.14,44.44,49.64,38.17,138.57,114.23,112.61,57.85,83.9,81.42,83.33,166.75,77.26,197.34,60.66,71.35,235.07,78.52,275.44,169.07,85.6,20.15,62.5,115.84,79.56,66.52,139.93,73.44,145.47,199.89,107.06,134.42,111.28,72.1,192.32,150.85,2
20,20,49.57,154.73,75.71,127.19,118.06,20,55.32,59.33,20,20,78.42,415.87,300.19,170.61,338.63,194.28,93.89,133.65,98.57,64.8,99.2,20,265.88,20,128.51,150.04,235.84,205.54,203.12,161.32,119.39,168.76,74.57,190.93,185.61,71.15,101.68,198.93,131,255.07,186.76,169.8,187.11,198.99,126.11,244.11,239.99,184.67,190.55,185.61,400.53,265.3,164.17,199.49,170.16,243.27,375.4,81.53,398.53,180.34,182.92,196.71,137.3,383.11,220.55,68.36,166.64,110.08,282.45,207.36,170.83,253.63,257.7,185.57,183.7,232.93,360.26,191.6,310.11,293.21,214.98,433.18,160.03,270.67,324.4,225.94,512.28,414.18,194.31,20,225,129.17,146.89,26.27,258.85,126.7,160.17,131.78,132.66,124.05,117.12,2
251.56,272.99,488.75,263.57,129.5,290.56,180.32,90.77,242.95,213.81,190.69,197.17,105.92,572.46,60.43,55.5,20,112.25,146.82,122.6,205.71,170.65,299.77,126.79,208.39,160.58,41.24,39.27,100.93,68.16,27.79,118.97,89.02,66.2,34.34,116.3,85.97,191.83,101.68,53.98,35,96.98,50.93,20,31.19,20,111.99,86.62,20,66.02,46.35,85.97,137.68,82.72,116.68,83.94,81.56,107.04,221.16,127.07,40.55,74.14,110.52,83.6,20,153.05,147.36,107,20,86.34,76.34,52.84,39.42,51.74,85.2,125.36,87.38,118.47,104.99,20,188.28,206.26,128.61,259.71,147.11,187.76,203.94,76.64,282.13,316.73,163.48,84.66,129.13,59.69,30.36,20,140.94,20,79.13,20,20,78.85,27.17,0
83.85,65.41,65.43,36.28,20,52.63,60.11,78.89,28.2,20,157.53,20,154.81,141.19,36.06,20,94.06,20,20,83.94,20,28.08,87.34,20,20,20,110.29,20,114.52,49.29,59.4,63.52,33.51,91.37,21.59,97.89,20,90.06,20,81.97,80,20,29.96,109.93,91.67,20,20,48.12,20,20,20,20,67.8,20,34.07,20,30.21,52.55,64.99,52.94,47.47,36.07,36.2,37.37,54.72,32.58,26.7,53.5,45.45,55.04,29.44,20,20,20,54.7,60.21,20,98.39,20,20,63.43,33.37,60.08,20,20,20,20,68.68,20,20,20,44.88,51.85,20,20,36.37,34.08,20,20,20,118.24,20,20,0
20,174.44,539.31,765.11,426.34,20,20,20,359.01,20,389.67,20,226.1,322.17,85.77,369.99,718.02,726.38,398.52,172.31,506.77,398.54,741.88,567.87,165.28,120.18,774.89,390.71,149.46,606.13,574.88,218.79,428.32,319.8,421.91,66.87,484.54,627.74,638.82,163.94,239,103.77,444.42,548.66,578.35,249.21,286.1,63.87,133.97,465.98,772.5,484.54,375.5,434.77,300.47,325.89,451.08,20,275.49,289.08,20,616.17,280.1,51.14,301.45,401.87,551.86,248.67,795.85,635.67,456.93,222.31,367.95,53.77,629,733.4,458.75,302.2,299.53,190.57,643.38,271.98,133.31,53.38,20,402.2,475.51,381.22,306.52,20,242.89,183.6,240.66,777.94,255.59,421.26,615.33,109.02,1068.72,363.12,200.91,209.63,175.22,2
75.25,150.89,211.17,178.21,139.46,123.9,200.71,175.07,91.11,278.73,71.51,312.63,103.89,69.31,186.16,140.8,193.35,201.83,137.83,168.99,184.28,142.57,113.22,156.05,169.38,139.37,124.67,129.9,163.05,70.26,97.73,110.91,114.15,129.6,123.63,63.97,158.26,184.63,100.65,227.92,97,136.75,123.84,156.06,109.62,180.99,88.46,110.24,127.22,162.66,93.73,158.26,211.74,112.98,215.8,76.04,120.83,82.71,108.64,114.36,132.51,217.41,128.62,123.93,80.52,40.48,83.08,188.23,63.63,118.72,122.14,150.53,190.04,148.12,175.66,138.19,166.82,126.5,149.25,138.04,142.97,176.94,162.41,195.04,173.94,169.65,133.14,176.18,144.24,227.75,127.98,117.3,118.37,88.07,208.58,102.03,186.07,170.9,111.54,178.63,159.57,190.4,176.15,0
59.13,64.54,65.43,66.16,42.83,133.77,114.84,153.45,56.4,75,20,127.45,20,240.02,71.15,43.17,82.57,53.97,31.96,69.59,40.71,30.24,50.68,55.27,74.94,24.24,27.81,46.32,47.56,98.58,39.28,30.25,62.83,50.35,43.17,64.93,46.89,63.94,63.68,41.99,39,38.79,48.94,54.96,47.25,37.9,53.64,39.37,29.88,34.45,31.93,46.89,68.84,42.37,81.57,42.46,48.33,47.68,101.85,85.77,63.29,64.12,44.78,105.24,34.07,102.69,68.24,33.68,43.43,48.57,56.71,84.74,22.24,54.78,37.87,45.41,52.63,20,104.99,38.11,109.75,54.6,47.88,151.92,49.7,121.04,96.16,38.82,188.79,154.66,78.47,20,73.37,45.01,20,106.07,89.35,63.84,20,62.47,71.14,48.08,41.23,2
20,20,20,20,20,20,20,20,20,20,81.87,20,20,20,20,92.5,24.04,20,20,48.6,76.07,21.6,20,23.84,20,32.32,76.72,20,20,20,20,20,90.06,20,86.34,20,20,20,20,63.98,132,20,20,20,63.32,20,126.11,20,20,20,22.66,20,20,20,74.34,26.66,39.27,20,20,93.18,62.3,20,20,20,20,31.6,20,20,20,26.98,20,23.93,20,20,20,20,103.27,21.08,20,20,20,32.35,20,20,76.54,20,20,20,20,20,20,70.38,20,47.95,20,59.6,20,99.2,29.55,44.9,20,20,37.48,1
61.28,20,73.36,54.42,134.48,20,106.26,113.47,20,20,39.38,25.05,63.15,20,47.76,97.64,20,88.5,20,81.73,69.64,49.68,20,110.54,56.46,78.77,38.36,67.47,57.26,55.58,20.12,40.33,42.94,69.93,85.36,67.84,74.24,36.93,41.08,87.97,82,25.22,40.95,69.69,46.31,39.8,21.65,20,48.19,50.71,40.17,74.24,20,20,23.75,24.69,42.29,50.6,20,20,95.92,47.09,68.6,133.76,50.59,52.33,38.57,78.27,23.23,75.55,20,32.9,20,20,92.56,34.55,60.57,78.31,20,56.66,20,146.61,89.18,20,96.42,21.92,20,57.73,20,20,20,77.52,20.54,42.08,42.11,69.71,20,36.34,70.55,57.59,43.26,20,20,2
403.15,304.39,146.73,392.69,264.97,160.08,422.88,207.48,374.19,252.98,333.7,43.57,628.41,794.51,467.83,258.99,110.79,261.19,206.75,241.89,332.14,359.66,635.13,316.44,239.19,623.12,280.03,322.24,343.57,266.36,285.52,324.66,537.23,302.09,454.29,524.32,394.67,350.35,314.28,463.84,580,218.21,461.4,255.19,292.01,385.66,540.19,214.36,212.04,259.3,244.11,394.67,280.58,836.25,484.26,409.84,434.97,549.79,578.13,439.44,456.88,325.62,258.19,477.01,563.67,277.46,343.18,298.2,184.82,501.84,411.13,550.29,486.22,225.22,309.24,550.79,284.98,331.32,226.45,332.73,20,417.57,430.9,223.78,289.25,276.39,394.14,393.16,269.4,391.94,112.1,497.77,398.16,420.77,437.73,672.81,139.09,529.4,422.34,532.97,311.46,576,245.49,1
55.9,323.58,444.14,193.14,196.24,725.85,296.23,20,317.79,404.1,105.71,376.9,20,949.82,22.42,143.89,111.83,356.17,51.94,224.22,73.93,24.84,47.45,120.29,98.55,307.01,41.24,133.93,298.92,149.96,71.86,90.74,75.4,65.27,21.59,220.97,72.29,562,213.63,260.91,52,211.42,71.91,78.52,149.31,197.09,133.64,202.11,59.76,194.24,65.92,72.29,236.77,262.27,227.16,117.52,20,262.73,429.72,240.37,33.62,20,64.79,116.06,124.92,217.23,90.99,65.39,60.6,240.67,140.68,248.23,20,20,55.75,46.39,20,172.69,220.27,20,372.54,284.11,197.14,376.73,83.49,37.17,307.5,243.86,315,485.15,88.75,20,65.54,20,87.15,20,324.25,20,20,20,20,40.39,20,0
220.39,328.81,118.97,284.91,209.19,465.99,462.6,237.74,721.27,226.12,433.19,602.39,1720.22,630.22,778.75,158.27,311.46,240.69,416.49,225.32,333.21,163.09,500.34,218.91,446.56,181.78,78.64,118.82,131.99,134.23,89.11,138.13,147.66,118.41,139.33,100.79,103.55,126.99,192.06,113.96,39,173.6,163.79,105.02,135.14,227.42,88.46,252.86,141.68,189.45,89.61,103.55,280.58,379.29,994.33,235.04,178.22,265.65,282.28,266.84,81.09,411.78,447.78,150.48,1210.96,248.83,592.41,362.6,694.85,1227.09,558.35,67.79,188.02,269.86,1266.41,197.42,109.23,1416.64,277.91,655.17,386.63,213.34,468.45,481.43,285.27,469.87,469.17,324.48,362.73,280.71,300.81,169.32,355.12,462.85,390.73,336.4,176.86,235.73,162.07,243.06,181.68,322.13,193.02,2
683.52,787.55,982.55,909.56,232.135,846.585,499.965,527.63,564.24,661.49,636.475,433.745,416.885,1808.88,368.675,324.495,439.555,555.05,440.475,508.695,601.415,520.87,633.805,485.21,650.065,682.7,224.34,335.255,325.905,371.27,245.7,355.325,330.455,287.845,240.39,289.605,274.25,399.075,292.44,230.925,283.5,394.055,286.64,254.395,263.735,343.545,240.1,300.045,388.295,372.165,255.655,274.25,380.805,300.015,289.11,362.065,337.235,386.585,578.915,475.385,332.77,277.025,421.105,215.56,314.545,655.27,499.555,390.335,339.75,331.61,555.805,324.525,302.64,410.23,665.285,352.515,311.79,462.845,606.78,406.39,699.19,543.85,454.04,867.13,425.975,621.4,675.71,329.505,865.92,702.775,421.98,379.76,631.205,298.67,258.735,444.9,511.11,256.53,365.14,285.27,258.01,280.21,412.905,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44.4,129.37,20,25.3,20,20,20,20,20,20,20,20,20,20,64.64,20,20,20,20,20,20,20,20,20,20,29.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,84.22,20,20,20,77.22,20,20,20,196.77,1
20,20,20,248.63,106.59,20,20,20,20,61.57,297.43,397.6,20,20,20,540.6,238.29,20,20,20,20,20,20,20,20,20,20,515.58,20,20,20,20,23.04,201.39,20,94.98,20,20,324.55,21.99,47,20,569.26,20,20,20,53.64,20,60.72,20,20,20,20,20,39.24,20,139.96,20,20,20,20,20,20,20,20,20,20,20,20,104.69,20,142.56,20,20,20,20,88.37,20,20,20,248.69,20,153.02,790.41,420.45,20,20,692.76,321.37,360.16,166.29,179.52,34.24,20,20,20,140.02,453.77,20,20,20,20,416.02,1
941.21,238.54,291.965,1187.54,1038,267.53,1863.07,1139,185.47,742.09,473.765,721.125,793.725,96.64,2225.14,350.7,1089.57,433.345,2057.515,167.89,1866.745,354,551.555,1377.4,722.19,70.19,216.19,273.83,40.085,20.485,355.885,569.16,35.08,592.735,22.265,93.525,224.915,325.125,298.6,82.975,73.5,409.27,1183.965,122.38,76.15,53.59,254.215,409.475,470.7,183.665,281.405,224.915,153.94,930.48,3499.765,541.8,936.325,3237.445,1969.445,773.99,338.205,732.87,156.245,20,865.825,189.585,624.665,101.145,929.06,1070.06,382.23,1049.28,983.45,962.275,128.32,696.875,440.38,43.635,165.715,1531.805,95.08,448.415,20,173.725,46.775,652.38,61.25,78.18,22.195,30.655,147.605,1449.965,990.505,132.805,1174.345,115.165,104.42,158.135,472.38,20,20,56.735,53.875,0
27.95,65.41,20,20,26.9,95.39,90.16,75.65,58.57,29.1,20.73,29.41,20,34.66,27.29,20,20,45.33,24.97,27.61,20,20,33.43,33.6,46.2,20,20,20,20,20,20,20,20,20.51,20,20,20,118.88,20,20,20,20,20,20,20,36.01,20,35.87,20,20,20,20,165.85,33.29,20,20.74,20,25.3,60.14,69.89,20,20,20,20,20,58.26,20,20,20,20.51,56.71,20,22.24,20,20,20,20,35.14,50.44,20,82.56,27.3,27.22,147.82,27.83,108.65,57.06,35.83,167.58,74.15,20,20,28.37,20,23.5,20,47.9,20.63,20,24.4,20,20,20,2
1139.56,843.4,520.48,1107.65,1273.04,2258.67,2409.58,1172.5,3574.89,702.98,1167.97,1083.87,2623.62,848.42,917.15,1828.38,994.98,506.2,526.36,1199.52,1060.69,1409.48,1202.32,622.05,1948.42,1727.96,768.18,1286.93,844.36,1121.03,399.54,562.61,1039.91,890.42,814.38,816.05,1057.98,94.57,682.99,1570.47,939,376.3,905.81,1247.48,940.29,1008.21,543.02,551.22,441.42,987.46,437.75,1057.98,1302.78,1078.35,299.43,939.17,346.37,1160.89,524.78,652.28,1178.78,647.23,1498.64,895.02,1002.42,738.58,957.35,2555.01,288.85,820.22,691.39,696.84,502.39,1071.34,680.54,1197.32,788.41,1154.6,726.7,610.87,860.86,888.74,1275.8,870.47,641.11,1011.21,900.3,873.91,984.26,1245.72,651.13,1464.75,678.93,1516.74,1404.27,1170.85,233.97,1784.64,412.81,1115.71,900.72,762.55,1183.41,0
465.5,221.53,131.85,255.04,317.76,191.88,354.19,243.15,289.59,351.49,704.72,456.42,331.01,320.88,252.44,211.72,317.73,327.03,374.55,409.78,393.21,285.14,445.34,259.01,460.93,546.36,361.55,227.58,245.54,333.48,245.28,156.28,373.86,123.07,383.64,174.45,264.74,393.58,208.49,329.89,252,214.33,363.52,307.21,400.69,180.99,230.57,146.99,223.6,400.92,250.29,264.74,238.86,323.81,268.46,192.57,421.88,351.28,312.35,236.13,256.13,236.45,171.49,313.75,432.56,324.86,339.23,359.62,942.29,359.38,274.81,171.47,274.95,324.65,336.59,185.57,309.8,244.98,305.71,202.94,340.32,294.22,429.02,306.92,357.83,280.2,624.5,425.01,319.25,504.22,490.45,253.99,529.25,402.18,353.51,492.99,288.32,365.37,678.8,735.02,522.94,530.8,430.08,2
55.905,104.665,112.525,81.63,149.42,139.8,90.695,189.115,111.715,132.65,47.675,244.55,58.56,53.91,28.03,54.47,89.36,161.895,52.935,104.38,591.955,72.905,57.15,175.565,39.52,108.06,113.645,96.165,91.23,112.21,74.255,98.305,96.87,135.195,82.42,104.67,164.61,29.27,68.81,116.96,108,53.825,88.385,107.96,106.315,122.71,97.875,62.56,92.525,78.46,123.085,164.61,92.83,56.49,103.765,42.955,60.915,53.52,62.08,98.475,79.115,67.63,68.595,80.65,52.65,45.42,29.67,30.805,38.885,77.165,20.905,26.415,44.48,28.915,42.075,74.525,24.895,54.215,58.67,43.265,60.415,46.005,74.165,20,26.34,40.025,29.02,62.705,45.605,27.01,20.275,36.72,47.94,26.42,49.455,22.125,36.255,26.03,40.04,39.045,25.86,26.345,20,0
20,22.68,62.46,57.62,20,150.21,57.96,25.94,57.48,41.42,43.53,40.3,20,20,66.28,33.92,36.58,56.12,61.92,43.08,60,33.48,72.25,20,42.09,67.66,89.19,76.53,60.17,148.91,47.91,88.73,60.74,46.62,45.13,97.89,80.11,102.67,63.68,46.98,66,79.53,99.87,67.72,77.49,72.01,41.41,60.37,64.58,52.63,111.24,80.11,62.58,36.31,24.78,22.71,33.23,20,76.63,50.83,36.59,34.06,25.72,48.19,36.13,47.4,39.56,21.8,20,55.04,51.25,80.75,43.47,20,20,36.52,36.74,77.31,89.55,52.54,77.53,45.5,119.22,65.7,48.7,119.13,126.8,49.77,85.91,88.98,30.83,64.26,88.05,51.86,85.2,77.79,62.64,134.56,74.36,81.99,67.29,75.97,73.08,2
484.85,484.06,105.09,209.15,339.68,20,301.6,176.15,20,383.95,478.79,569.71,645.72,587.86,20,153.14,215.3,623.84,376.54,93.88,792.84,245.17,456.13,359.79,237.14,605.95,367.31,901.25,546.41,806.43,705.19,514.21,686.99,278.78,839.89,656.13,283.3,398.98,522.77,469.84,587,222.09,605.21,340.58,236.25,680.35,751.94,547.72,718.04,776,254.41,283.3,20,419.64,488.39,395.02,712.87,372.69,291.98,674.52,79.11,271.52,381.09,574.38,409.85,302.15,612.19,484.45,445.39,536.38,378.41,301.07,549.9,32.46,447.03,255.65,279.02,171.68,274.83,200.88,412.81,520.7,248.78,159.11,328.01,394.57,545.25,198.07,201.52,414.18,527.82,538.57,1134.8,410.01,226.21,317.21,410.84,94.29,1183.13,787.73,665.21,436.56,492.85,1
444.535,415.16,392.095,351.61,133.48,497.235,348.825,293.395,375.82,273.69,317.64,354.57,189.95,1061.49,156.92,150.565,204.85,351.855,311.12,274.475,311.245,312.68,257.175,295.315,229.95,225.21,112.205,105.735,201.38,145.765,111.625,144.185,164.94,170.62,112.835,122.115,157.77,217.95,166.895,158.945,78.5,213.845,128.33,125.63,134.665,96.175,115.755,187.24,122.4,183.715,125.145,157.77,318.655,251.685,235.415,312.07,259.27,121.905,420.505,310.255,175.035,200.885,221.035,237.525,247.25,392.495,224.01,206.56,178.76,224.48,280.265,215.33,159.21,172.325,180.39,245.29,179.73,184.735,259.9,135.675,370.02,368.535,342.655,424.97,238.055,326.43,383.05,251.325,567.96,389.285,214.4,311.62,281.74,116.66,251.67,132.74,248.715,192.195,138.235,123.48,185.045,170.68,169.125,1
82.565,74.975,376.235,315.86,441.285,171.725,162.61,544.11,68.57,176.865,37.465,309.91,46.155,153.755,28.52,64.235,1120.925,343.76,62.435,191.08,380.885,827.325,39.655,446.49,51.575,48.475,419.57,485.87,403.74,358.645,284.57,364.485,300.035,326.33,334.09,423.53,533.87,812.37,761.56,342.385,383.5,348.175,521.315,434.315,419.11,278.115,449.38,646.15,249.145,476.985,350.715,533.87,50.16,36.225,34.265,45.925,47.255,154.72,88.085,57.12,39.665,35.55,45.725,49.34,34.26,63.815,55.495,38.235,20.605,39.14,111.235,33.925,28.195,23.19,56.28,22.83,37.805,29.075,58.89,35.54,61.35,61.06,63.51,91.095,41.805,62.42,59.135,52.8,93.26,79.385,49.235,52.33,76.305,49.14,39.87,37.275,27.5,27.19,34.31,29.525,29.225,41.25,20,0
371.97,615.76,524.44,516.47,224.13,614.01,218.96,252.87,475.06,422.01,373.09,399.78,310.64,487.74,316.76,212.75,213.21,348.62,400.51,275.03,318.21,288.38,402.21,352.21,423.97,328.22,134.26,140.98,124.23,217.08,201.21,230.89,198.98,180.88,159.93,184.14,191.47,317.92,174.6,183.94,144,282.22,175.77,143.3,138.92,96.65,193.87,182.87,93.49,202.85,141.11,191.47,178.36,210.83,163.14,181.71,350.39,246.19,284.22,196.95,186.9,228.43,137.19,220.31,240.54,335.72,319.45,229.84,276.73,140.3,330.43,360.88,168.81,287.11,331.33,175.7,234.34,287.14,300.56,424.42,193.32,205.25,247.84,307.95,241.53,468.91,347.65,169.21,270.46,353.8,190.58,225.43,465.66,234.85,226.21,336.4,214.63,165.99,274.57,204.99,171.11,215.4,129.3,1
61.28,20,177.46,184.61,359.6,502.17,205,203.16,58.57,91.79,182.4,398.69,375.82,20,45.81,164.44,139.01,175.93,273.67,219.8,385.71,209.53,235.07,572.2,355.19,380.74,226.33,179.24,241.66,126.89,163.84,219.8,172.79,212.58,252.16,211.28,278.42,130.59,230.06,175.94,231,122.2,193.75,226.73,257.99,240.68,203.28,294.86,249.63,29.66,203.94,278.42,116.82,168.46,186.89,179.74,228.56,145.96,91.18,441.56,171.08,278.53,108.61,219.33,199.25,112.56,238.35,287.3,201.99,391.76,20,34.89,383.11,188.7,77.84,111.54,206.54,68.27,143.07,149.37,324.21,245.69,433.72,20,313.1,146.77,258.89,41.8,285.31,49.79,329.77,332.53,322.83,432.52,161.58,175.78,196.21,198.4,359.42,242.08,378.75,586.57,515.34,1
1444.87,748.33,1236.26,1269.84,1644.6,1554.76,1392.08,2142.93,1220.19,1448.5,860.17,1531.58,824.97,1705.82,1390.83,1459.41,2162.42,1471.1,821,990.76,1458.18,1504.52,892.84,1723.1,1059.42,477.69,1146.03,1212.41,1375.24,1672.64,1300.19,1472.05,1536.3,1106.73,1413.88,2123.47,1254.33,1350.05,2076.69,1960.34,1292,1285.04,1475.07,1479.12,1324.91,1219.52,1159.44,1224.93,1219.22,1468.75,1385.35,1254.33,1660.55,1036.99,1171.92,1688.72,885.05,1746.68,1456.97,1861.54,761.46,1058.01,964.16,1178.27,999.32,1606.51,1001.86,1016.46,1146.3,1208.74,1106.88,1031.8,1093.74,1428.45,1222.23,1817.21,1125.03,1105.4,1536.77,1377.29,1626.07,1689.51,1495.47,1630.09,2019.75,1285.7,1555.44,1142.65,1637.6,1748.88,1243.41,1430.07,1360.79,1331.8,1627.54,1048.61,855.76,1286.67,1109.72,1031.77,1548.63,1152.95,1561.02,2
31.18,55.82,20,48.02,20,197.36,109.48,96.18,114.97,85.07,69.44,80.61,30.55,245.16,28.27,22.61,42.85,26.98,38.95,45.29,20,20,20,20.59,20,29.29,20,20,20,30.41,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.79,20,20,20,20,20,20,97,29.25,76.41,63.2,43.3,27.25,204.67,20,20,26.05,49.54,20,33.04,86.89,20.77,24.77,63.63,20,38.17,20,20,32.46,20,33.56,21.85,20,27.79,22.66,136.93,38.42,34.73,209.41,20,122.95,132.09,102.52,129.4,48.73,30.83,107.1,41.09,20,20,26.27,64.48,51.07,20,25.38,20,20,20,0
