%
@relation cancer
@attribute BR_BR8T real
@attribute BR_BR10T real
@attribute BR_BR14T real
@attribute BR_BR16T real
@attribute BR_BR17T real
@attribute BR_BR20T real
@attribute BR_BR6T real
@attribute BR_BR15T real
@attribute BR_BR21T real
@attribute BR_BR29T real
@attribute BR_BR31T real
@attribute BR_BR32T real
@attribute BR_U1 real
@attribute BR_U16 real
@attribute BR_UX7 real
@attribute BR_UX8 real
@attribute BR_UX19 real
@attribute BR_B24T real
@attribute BR_B46T real
@attribute BR_B30T real
@attribute BR_B34T real
@attribute BR_B36T real
@attribute BR_B37T real
@attribute BR_B38T real
@attribute BR_B39T real
@attribute BR_B41T real
@attribute PR_PR29T real
@attribute PR_PR13BT real
@attribute PR_PR8T real
@attribute PR_PR21T real
@attribute PR_PR27T real
@attribute PR_PR9T real
@attribute PR_PR7T real
@attribute PR_PR19T real
@attribute PR_PR5T real
@attribute PR_PR24T real
@attribute PR_U40 real
@attribute PR_U41 real
@attribute PR_PR4 real
@attribute PR_PR3 real
@attribute PR_PR1 real
@attribute PR_PR10 real
@attribute PR_PR22 real
@attribute PR_PR12 real
@attribute PR_PR31 real
@attribute PR_PR30 real
@attribute PR_PR26 real
@attribute PR_PR16 real
@attribute PR_PR23 real
@attribute PR_PR6 real
@attribute PR_PR11 real
@attribute PR_PR17 real
@attribute LU_A_LU_A31T real
@attribute LU_A_LU_A34T real
@attribute LU_A_LU_A39T real
@attribute LU_A_LU_A8T real
@attribute LU_A_LU_A20T real
@attribute LU_A_LU_A5T real
@attribute LU_A_LU_A6T real
@attribute LU_A_LU_A17T real
@attribute LU_A_LU_A18T real
@attribute LU_S_LU_S19T real
@attribute LU_S_LU_S24T real
@attribute LU_S_LU_S25T real
@attribute LU_S_LU_S12T real
@attribute LU_S_LU_S13T real
@attribute LU_S_LU_S14T real
@attribute LU_S_LU_S11T real
@attribute LU_S_LU_S7T real
@attribute LUA_U17 real
@attribute LUA_UX4 real
@attribute LUA_LU40T real
@attribute LUA_LU44T real
@attribute LUA_LU33T real
@attribute LUS_U2 real
@attribute LUS_U19 real
@attribute LUS_LU41T real
@attribute LUS_LU30T real
@attribute LUS_LU26T real
@attribute LUS_LU36T real
@attribute CO_CO7T real
@attribute CO_CO9T real
@attribute CO_CO42T real
@attribute CO_CO15T real
@attribute CO_CO40T real
@attribute CO_CO27T real
@attribute CO_CO30T real
@attribute CO_CO32T real
@attribute CO_CO20T real
@attribute CO_CO24T real
@attribute CO_CO8T real
@attribute CO_U6 real
@attribute CO_U12 real
@attribute CO_CO14T real
@attribute CO_CO21T real
@attribute CO_CO23T real
@attribute CO_CO5T real
@attribute CO_CO43T real
@attribute CO_CO44T real
@attribute CO_CO49T real
@attribute CO_CO51T real
@attribute CO_CO56T real
@attribute CO_CO61T real
@attribute class_label real
@data
63.965,64.945,62.05,56.95,62.795,134.995,99.085,85.645,207.4,116.98,67.515,66.1,62.96,527.265,336.51,191.4,234.635,103.9,76.42,52.525,40.535,43.48,66.07,74.48,68.515,39.285,59.87,186.725,177.415,209.775,56.95,84.61,145.615,183.42,165.33,158.77,153.115,117.625,158.41,182.94,48,177.295,223.71,120.42,161.2,228.89,137.05,293.485,175.41,244.47,116.39,153.115,38.165,129.12,1060.41,70.24,111.765,112.175,247.17,407.145,104.33,76.14,82.885,53.275,79.685,132.805,479.665,54.58,98.37,113.605,2727.94,295.085,322.965,158.12,56.805,29.25,395.695,127.47,395.77,126.195,140.39,116.67,82.285,176.805,137.725,92.92,119.365,90.625,205.155,179.485,136.585,177.99,114.95,211.09,557.2,227.195,220.025,127.37,93.895,164.965,189.855,126.355,199.27,1
20,20,85.26,20.27,20,25.22,20,25.94,20,49.25,32.13,31.59,20,125.79,20,20,201.71,20,20,55.23,20,20,20,20,28.74,20,20,32.22,28.15,20,20.12,20.17,21.99,27.04,35.32,37.8,26.38,29.72,26.7,31.99,20,21.34,28.96,20,20,39.8,20,40.25,21.2,41.14,27.81,26.38,195.05,27.24,45.43,25.68,20,30.17,50.44,20,448.97,52.1,20,23.6,20,20,118.68,20,20,25.9,43.62,126.61,453.87,138.99,20,20,37.73,20,39.11,52.54,20,20,20,54.4,27.83,20.97,20,20,36.06,20,20,20,36.2,34.25,20,37.38,20,25.54,20,41.97,40.37,25.96,32.79,2
77.945,97.685,169.03,125.385,113.06,172.14,69.03,56.47,82.43,79.475,92.235,111.11,125.275,73.535,109.16,208.12,92.495,208.305,89.39,172.86,172.495,113.95,156.895,178.27,104.71,107.05,439.71,521.12,424.605,272.655,221.81,254.585,266.525,323.07,467.53,296.08,175.355,186.88,232.63,285.405,566.5,352.05,331.565,373.95,203.175,235.945,515.255,238.865,433.23,392.305,178.705,175.355,106.395,300.61,202.375,53.33,149.52,82.715,147.925,184.78,109.275,209.395,286.295,205.065,258.09,282.395,563.235,166.93,118.67,117.635,144.495,94.705,147.08,110.58,360.255,196.43,190.645,492.465,318.055,219.935,115.785,163.795,188.695,424.975,115.795,126.285,257.835,106.005,279.47,120.755,99.025,130.56,253.375,162.925,195.365,123.75,198.51,149.785,171.13,205.965,139.865,44.715,83.86,0
181.68,209.32,219.1,172.87,84.67,166.66,94.45,131.84,147.51,136.57,96.38,72.98,127.31,345.27,59.45,108.94,81.52,124.12,20,132.54,111.43,105.85,128.32,124.63,171.44,143.41,20,20,52.41,33.56,42.16,41.34,59.69,96.03,44.15,31.98,36.15,151.31,45.19,32.99,37,51.4,52.93,48.09,21.74,20,39.53,64.75,36.62,85.16,41.2,36.15,20,74.65,79.5,79.99,131.9,193.64,272.58,75.18,46.48,80.15,20,59.01,103.24,227.1,167.14,53.5,20,100.37,231.19,20,72.78,61.89,147.26,157.93,29.79,87.35,92.64,106.1,131.9,20,91.06,166.29,126.23,99.12,92.99,62.71,171.82,169.49,87.81,143.82,90.98,43.06,20,135.37,101.33,37.32,94.38,115.18,64.41,77.89,119,2
20,20,86.75,33.475,20,50.57,20,20,25.185,35.265,43.53,20,20,58.4,22.67,20,410.745,35.62,20,24.36,20,20,25.635,20,90.85,20,20,20,22.615,23.11,20,20,20,20,20,25.505,20,24.41,20,20,20,20,20,20,20,25.16,20.825,27.935,20,20,20,20,20,20,20,20,20,20,35.22,20,20,20,20,20,20,20,20,20,20,20,59.075,23.46,20,40.435,20,20,20,36.645,45.805,22.875,21.075,20.615,20,57.485,21.43,20,20,22.895,23.26,20,20,20,20,23.7,23.71,23.135,22.435,26.03,20.965,20,20,20,20,1
312.84,123.85,178.45,539.95,440.29,46.05,20,770.5,33.62,158.95,243.54,204.79,138.51,20,166.67,171.64,190.22,428.49,299.64,135.86,272.14,619.95,38.82,2609.58,335.69,343.37,334.7,278.94,170.81,126.89,291.27,491.02,349.78,215.38,445.46,573.75,286.23,289.1,428.28,367.88,493,337.5,324.58,242.43,291.06,203.73,367.97,301.86,359.5,265.04,426.42,286.23,54.24,254.2,493.55,303.18,300.05,190.72,91.18,257.31,286.78,382.73,440.16,485.87,573.99,138.24,255.16,476.53,336.32,651.86,179.94,95.7,181.95,100.44,442.82,437.27,748.69,344.37,155.43,310.07,363.47,421.62,410.25,84.17,717.65,89.59,407.88,325.48,259.85,183.26,279.32,370.27,609.47,419.8,58.76,244.47,20,241.62,214.51,428.52,555.62,557.73,893.88,2
138.685,44.48,54.03,101.91,118.04,110.195,91.77,67.545,85.14,118.095,116.59,102.395,50.415,59.685,105.75,106.61,47.105,105.77,161.305,247.965,166.065,68.585,95.43,55.265,103.68,94.935,70.965,119.83,85.89,88.61,65.155,79.15,58.12,81.585,45.135,102.25,73.5,69.345,87.3,69.475,75.5,104.745,101.865,42.695,77.02,90.97,78.58,98.87,89.15,72.72,100.425,73.5,162.72,173.505,62.985,108.14,134.42,139.635,82.935,288.015,59.335,82.155,54.78,119.5,124.4,98.74,107.805,100.65,104.53,326.47,79.065,176.95,185.995,134.425,133.58,115.615,213.485,116.46,165.205,118.465,85.08,86.955,70.41,86.225,73.06,84.345,77.67,101.03,129.395,45.55,84.54,107.61,67.5,114,141.01,238.915,65.865,128.175,95.815,138.61,139.385,118.76,79.175,0
379.49,230.26,251.81,137.66,152.41,389.24,670.82,279.89,830.81,166.79,165.82,235.29,82.5,643.05,872.32,340.19,176.63,124.12,90.89,86.15,232.49,1201.02,1962.53,87.78,643.66,23.23,59.46,649.51,159.17,176.18,234.74,287.35,154.99,180.88,94.19,63,174.86,68.45,230.06,96.97,66,210.45,591.23,149.19,189,169.61,148.69,185.49,238.06,387.52,141.11,174.86,297.27,311.7,274.65,125.42,95.65,252.03,267.73,202.25,272.94,416.79,1351.92,1732.99,750.53,244.88,912.85,1450.38,239.36,193.18,574.71,218.32,761.17,197.83,641.62,1239.77,676.21,775.09,392.17,1008.5,570.89,257.82,165.22,442.42,570.54,217.3,311.72,204.05,299.1,420.54,280.26,351.91,329.68,240.72,221.31,246.49,536.11,609.94,127.75,184.49,327.8,214.44,276.41,2
259.09,231.13,303.36,441.78,269.95,486.82,178.17,761.86,511.94,521.64,702.64,630.71,189.44,449.24,339.18,353.55,385.66,702.63,499.39,610.8,392.13,457.94,443.19,371.71,282.31,275.71,266.61,220.53,231.96,265.31,235.7,223.83,249.24,239.62,146.2,149.25,214.92,466.53,240.33,191.94,173,219.18,275.64,251.26,303.35,235,263.51,244.11,239.99,277.48,279.13,214.92,333.78,303.63,257.1,168.87,203.39,175.15,272.58,192.72,185.92,299.57,265.81,157.37,193.05,265.61,200.77,139.69,159.57,288.16,455.84,212.34,189.03,144.06,189.33,229.99,278.03,312.24,181.16,271.96,213.45,193.12,285.39,150.9,183.88,257.33,315.95,196.08,221.67,208.68,133.59,264.19,214.24,115.47,358.41,361.66,145.54,336.89,171.61,481.23,245.13,286.56,245.49,2
58.05,20,20,20,34.86,42.76,20,20,20,20,20,20,20,20,20,20,20,20,20,98.3,20,20,20,20,20,46.46,20,20,20,20,20,20,20,20,20,20,20,20,20,27.99,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,661.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1
92.45,20,20,745.9,63.75,20,20,20,20,20,20,20,20,20,20,174.72,20,92.82,173.79,178.93,771.41,271.09,45.29,42.26,53.38,369.63,71.93,20,20,20,20,20,20,80.18,20,20,20,20,20,20,20,20,20,29.44,20,20,20,20,20,20,20,20,20,20,20,20,135.93,20,133.86,20,20,71.13,20,20,20,37.52,20,20,20,20,20,119.63,20,20,20,20,20,20,20,128.77,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2
23.65,29.65,20,20,20,20,20,20,20,20,118.14,20,20,20,20,20,20,20,20,20,20,20,54.99,20,20,28.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.46,20,20,79,20,20,70.81,39.18,20,20,173.4,42.29,48.52,20,20,155.54,20,20,32.72,20,20,20,136.74,41.46,25.82,98.39,20,69.02,90.62,20,20,33.87,47.71,93.4,60.23,99.53,62.58,20,73.8,43.86,20,25.44,34.27,124.26,69.09,95.27,83.9,117.14,20,186.55,74.96,0
20,20,20,20,20,20,189.98,159.94,20,20,20,20,136.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30.42,20,20,20,20,20,28,20,20,20,20,20,20,20,20,20,20,20,20,20,64.02,76.04,99.68,20,20,20,20,20,20,20,20,45.42,65.27,69.35,54.54,20,112.32,20,20,20,95.72,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.64,20,20,20,20,20,20,69.6,20,20,20,118.06,1
68.8,72.39,84.27,67.23,41.84,167.76,82.64,37.82,72.67,45.9,46.64,63.18,40.74,195.1,48.73,20,36.58,49.65,53.93,64.06,49.28,37.8,59.31,48.77,42.09,41.41,24.93,29.2,55.32,29.36,34.49,35.29,52.36,36.36,29.44,35.86,38.1,56.74,44.16,30.99,23,67.89,24.97,23.56,26.46,37.9,63.05,35,26.02,33.49,29.87,38.1,74.06,51.45,41.3,23.7,26.18,33.08,111.55,34.94,29.67,20,21.91,61.96,32,61.22,20,54.49,29.29,35.61,91.6,51.84,34.37,53.77,59.95,48.37,76.46,58.23,111.17,48.42,77.53,71.79,55.39,157.05,61.63,92.45,113.07,27.87,190.91,139.83,91.55,28.56,30.33,27.4,38.19,72.74,84.75,32.41,30.51,20,20,40.39,33.73,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,56.53,20,20,20,20,20,20,20,20,20,76.99,20,20,59.41,96.08,20,50.78,42.35,30.37,20,20,20,34.19,22.52,44.16,35.99,69,42.67,43.94,20,20,20,147.75,30.62,22.17,20,139.05,34.19,43.81,84.73,20,20,20,20,20,20,20,20,33.35,20,20,20,20,20,20,20,53.44,51.84,20,20,76.78,20,33.76,43.17,50.44,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2
112.88,102.05,76.34,46.95,60.76,156.79,78.35,85.37,77.01,107.46,62.18,92.59,79.44,359.39,100.39,20,93.02,37.78,95.88,77.32,54.64,62.64,53.92,80.19,39.01,44.44,153.44,790.49,476.53,750.85,803.88,307.52,267.05,387.87,257.07,296.57,488.45,130.59,461.14,129.96,365,249.25,812.94,415.17,437.54,433.99,313.39,649.22,230.35,278.44,509.85,488.45,143.94,79.69,26.85,53.33,73.5,54.49,65.96,61.42,144.38,33.06,70.5,81.63,102.2,50.36,107.8,170.4,70.7,31.3,134.13,73.77,86.93,96.38,198.8,32.57,62.56,182.73,71.02,127.74,118.81,55.61,109.84,34.9,50.69,61.95,82.42,40.81,51.97,109.11,75.67,23.46,68.48,68.5,20,30.31,117.91,20,20,20,20,28.85,20,2
67.73,23.55,22.8,53.35,23.91,48.24,20,23.77,20,49.25,34.2,53.38,55,332.44,94.54,20,70.03,53.97,25.97,38.66,31.07,49.68,50.68,54.19,37.98,67.66,20,20,20,20,20,36.3,20,20,20,34.89,20.51,59.44,20,46.98,20,29.1,20,50.06,20,20,20,26.25,34.7,20,20,20.51,20,30.26,20,33.58,20,20,20,20,20,20,20.01,20,20,20,20,20,20,20,34.9,20,67.73,97.39,20,20.73,41.7,59.24,22.64,20,21.14,20,37.55,25.66,43.73,20,75.02,37.82,51.97,20,20,35.7,95.87,37.18,20,20,148.31,20,21.93,36.12,20,20,91.82,2
925.62,363.7,82.29,375.62,583.73,20,281.21,892.62,472.89,670.52,805.24,592.59,1098.95,20,389.86,930.12,721.15,736.09,794.04,414.2,839.98,376.94,570.43,795.45,508.15,487.79,417.18,340.36,238.75,340.82,307.56,371.04,639.86,194.87,513.16,325.64,333.12,406.19,603.9,567.81,407,242.46,269.65,392.6,304.29,171.51,163.75,365.73,303.6,298.53,485.13,333.12,376.54,314.73,1204.96,422.67,441.01,491.41,402.56,804.76,320.41,377.72,668.82,745.52,958.03,757.34,560.76,526.06,512.05,348.59,412.22,467.55,462.97,234.36,770.99,382.99,1112.12,873.48,395.26,383.21,515.51,937.27,831.76,260.73,902.52,527.05,762.93,452.88,947.14,772.22,706.25,731.36,717.08,1106.73,702.13,900.11,712.98,964.51,839.91,986.86,1074.72,660.62,885.45,0
174.16,258.17,116.98,108.84,120.53,315.78,221.1,195.6,248.38,72.76,458.07,176.47,445.08,343.99,271.93,212.75,314.59,167.29,178.78,138.07,135,144.73,202.72,177.73,302.84,322.16,176.46,192.33,265.92,283.14,163.84,211.73,240.86,206.05,189.37,234.54,205.15,216.15,202.33,189.94,89,280.28,147.81,167.84,147.42,222.68,119.52,279.99,273.72,276.53,202.91,205.15,215.91,295.56,454.31,159,277.9,191.7,311.38,303.9,168.11,217.41,258.19,169.17,333.45,293.26,254.17,349.72,328.24,352.91,475.47,221.31,142.53,300.3,211.42,135.23,230.37,326.3,226.45,304.92,318.17,177.95,257.23,398.28,291.23,175.37,343.42,261.77,394.55,276.47,412.91,260.11,342.4,281.82,280.07,274.78,378.6,288.76,388.02,263.55,322.99,177.9,333.57,0
1152.46,573.02,1107.38,2826.74,2895.73,3576.6,2771.29,1186.55,969.65,814.92,481.9,2273.4,322.86,528.82,422.03,1538.55,683.53,1009.16,292.64,441.81,1788.18,3013.36,374.17,1604.98,960.87,996.78,463.21,303.1,277.57,204.49,786.63,323.65,608.45,717.93,466.06,294.63,143.6,148.6,480.66,1017.66,443,452.91,253.67,335.67,330.75,425.46,540.19,366.61,449.13,382.74,283.25,143.6,343.17,397.45,152.81,425.64,550.76,87.58,884.66,1102.31,527.09,587.11,134.33,334.4,1397.81,348.55,517.25,277.4,265.62,147.85,612.87,2249.03,692.43,431.17,159.88,229,195.61,102.41,547.6,694.31,302.06,406.45,194.33,396.23,141.14,114.37,188.09,173.19,325.61,240.46,288.67,438.61,1306,345.43,1033.12,183.86,183.31,280.91,192.58,86.88,105.74,51.93,405.71,2
1046.565,1246.345,1643.22,1442.18,1396.07,1736.765,1587.425,3496.435,1072.14,1198.875,660.155,1935.17,1843.965,1731.495,1367.93,2094.05,1572.43,1243.905,1114.645,1344.76,1105.69,1338.735,1310.69,1173.12,721.68,1201.29,1601.57,1926.37,2072.555,2025.515,1699.735,1852.165,2213.335,1623.725,2311.655,2419.065,1714.45,2378.12,1736.225,2070.805,2678.5,1242.845,1573.44,2025.32,1788.44,2701.985,1686.925,1318.555,1967.13,1568.745,1971.42,1714.45,2328.63,1068.265,640.17,2682.205,1203.215,1799.715,938.01,1690.525,2536.56,1440.735,1411.945,1957.23,1104.105,2427.535,1615.53,952.56,712.525,1132.115,747.55,1631.94,1371.72,1948.9,1504.12,1490.98,1343.975,1153.595,952.63,1240.795,847.265,1194.585,1722.66,1082.96,861.275,1264.73,972.68,1644.305,1115.775,1210.235,829.56,1275.54,1818.13,900.26,1104.125,1303.69,810.16,1253.765,1180.74,1623.3,794.5,1137.57,1123.445,0
566.55,485.8,455.05,387.36,245.05,512.04,486.21,433.34,354.67,377.24,306.76,466.23,223.05,1002.44,157.89,419.32,247.7,351.86,213.74,334.67,258.21,224.65,271.73,251.42,286.41,272.68,163.03,156.08,234.87,221.27,160.97,180.48,279.61,179.95,179.56,244.23,195.38,251.28,181.79,286.9,130,252.16,177.77,192.37,176.72,231.21,212.69,199.49,209.15,215.29,176.13,195.38,296.23,231,142.49,203.44,179.22,198.51,419.05,211.78,281.84,134.25,169.59,233.1,308.68,363.37,191.87,120.87,138.36,318.37,439.48,501.45,229.46,400.74,228.25,172.74,176.75,379.51,442.61,215.3,350.39,475.21,313.55,540.97,220.66,391.71,440.64,308.56,529.25,476.68,229.81,406.99,349.25,219.19,286.92,275.79,306.75,333.94,134.42,293.81,124.97,136.55,322.32,2
20,20,20,20,20,128.28,64.4,20,20,20,20,55.56,22.41,202.8,83.82,20,37.63,20,20,20,20,20,20,20,20,20,20,20,69.88,20,20,20,20,41.96,20,26.17,20,20,20,20,20,21.34,20,20,20,94.76,20,20,20,20,20,20,59.45,57.5,28.91,20.74,22.15,20,20,20,20,20.04,20.01,21.64,39.23,89.85,20,20,20,20,20,20,20,20,21.04,40.47,84.4,20,20,23.69,20,32.35,20,20,20,47.65,68.68,58.73,119.85,20,20,20,80.22,38.16,58.76,20,59.88,20,20.02,32.21,30.76,20,20,1
31.18,20,20,35.21,115.55,20,78.35,95.1,40.13,58.21,20,41.39,38.7,20,63.35,61.67,34.49,127.36,38.95,89.47,124.28,88.56,63.62,37.93,22.58,54.54,88.23,94.66,89.29,105.92,63.24,54.45,50.27,43.82,53.96,210.31,38.1,221.56,63.68,89.97,67,98.92,164.78,121.71,49.14,20,41.41,35,63.61,60.28,73.13,38.1,82.4,88.77,25.81,20,72.5,28.22,26.19,101.65,43.51,80.15,20.01,86.55,48.52,20,133.52,72.32,83.83,31.3,51.25,37.88,96.03,30.44,32.61,50.34,34.75,57.23,20,44.3,24.16,20,20,48.25,25.84,20,40.15,25.88,20,20,40.17,20,28.37,43.06,20,76.78,23.03,63.84,20,72.23,55.75,40.39,28.11,2
201.04,283.46,171.51,166.47,150.41,430.9,232.91,232.34,351.42,252.98,165.82,214.6,132.4,1019.13,114.03,93.53,120.19,209.39,189.77,153.53,115.71,145.81,90.58,165.81,161.17,52.52,20,73.51,87.35,40.9,34.49,68.56,57.6,123.07,54.95,53.3,67.41,37.83,42.11,29.99,43,83.41,31.96,50.06,23.63,126.03,27.29,111.99,80,32.53,39.14,67.41,325.43,274.38,145.59,153.07,200.37,124.55,254.15,162.01,118.67,198.38,118.14,129.83,106.33,378.18,266.04,121.86,78.78,192.1,148.31,181.44,253.72,390.59,180.92,178.66,91.35,115.46,192.48,97.86,213.45,162.78,186.82,293.58,166.99,124.85,256.77,116.45,334.1,352.74,177.5,164.22,249.46,81.22,158.64,74.76,113.3,38.31,86.76,55.64,62.48,73.08,87.14,1
44.65333,27.58,103.16,62.06333,76.42,79.48667,62.12,60.34,53.46333,88.75667,29.91333,63.44333,66.75667,91.80667,76.34667,75.52667,75.64667,44.63333,54.61667,65.57667,60.59333,55.81667,46.76,65.18667,42.25333,67.93333,114.12667,55.29,63.28333,47.59,65.15333,67.21667,60.80667,69.76,73.71333,74.62667,60.07,65.57,51.85667,66.98,49.33333,56.45333,106.19667,72.63,40.42333,84.65,106.97333,69.95667,75.74,58.62333,89.06667,60.07,138.09,84.06,62.89333,61.23,104.38,72.83667,47.28333,80.08333,149.32667,161.30667,62.56,74.85667,98.89,46.16333,68.9,58.84333,75.00667,77.17667,68.09667,90.72,78.51,75.31667,87.65333,56.43667,51.35,73.24,89.50333,78.29333,89.23,63.88667,92.72,98.02333,120.31,64.17,72.53333,99.23333,72.37333,85.40667,88.25333,116.28,76.12333,126.23,118.49,81.82667,71.14667,93.30667,64.18,82.15333,108.30667,52.18,89.95,2
97.83,97.68,300.39,358.545,202.215,203.94,303.745,686.21,252.175,173.505,153.38,240.74,170.595,224.35,185.18,191.165,576.405,257.955,91.385,309.265,989.44,2479.815,188.705,737.47,292.055,148.455,322.71,389.2,414.9,362.32,228.04,345.83,328.835,358.03,310.055,279.125,286.23,454.815,280.385,415.86,386,301.135,437.93,377.875,288.23,609.285,511.49,244.99,582.14,410.965,288.915,286.23,250.335,738.905,286.525,107.15,162.11,212.135,194.005,316.61,415.345,251.98,353.94,182.94,212.665,136.755,180.49,413.62,429.23,354.53,269.905,180.97,164.265,168.41,1161.75,241.34,432.435,834.825,234.685,228.69,186.77,323.04,177.43,363.385,319.06,203.005,216.62,267.745,249.775,264.825,205.055,353.435,281.745,180.05,252.16,285.385,207.725,194.965,150.635,227.44,358.08,115.775,122.745,0
976.15,617.5,645.39,781.11,701.27,1031.75,1108.73,786.71,1024.96,1102.61,902.66,642.7,740.44,2246.19,436.65,700.93,368.94,1062.04,447.46,931.12,721.06,850.01,951.07,772.69,408.57,613.02,583.09,464.22,744.39,708.9,581.59,500.09,519.43,684.36,596.56,890.67,525.57,915.94,592.61,481.84,573,697.31,634.17,620.31,316.58,438.72,506.31,560.85,358.54,556.88,486.16,525.57,579.94,609.28,721.74,320.96,576.94,346.42,1222.23,975.24,537.97,358.68,361.08,555.7,368.55,1252.03,324.39,538.94,615.06,1066.28,922.58,611.11,645.93,513.35,699.47,773.87,556.06,698.78,778.16,405.87,763.2,688.54,412.12,982.36,641.11,1004.54,1042.95,570.33,1440.32,966.07,667.01,558.97,637.84,605.72,570.91,808.18,865.89,744.5,620.64,674.5,581.58,896.21,520.03,0
419.27,351.49,401.51,353.21,338.68,974.74,562.41,203.16,413.24,339.18,283.96,567.53,526.56,575.03,924.95,2694.78,737.88,290.33,207.75,334.67,337.49,243.01,347.22,215.66,227.9,247.43,304.01,207.44,357.15,380.67,382.3,462.79,338.26,459.66,326.73,430.31,429.83,409.79,448.82,504.83,332,500.44,357.53,367.08,350.6,308.91,346.33,471.6,392.27,379.87,425.39,429.83,543.43,399.46,240.58,878.92,700.79,477.78,384.13,257.31,430.18,233.44,259.14,189.82,434.62,362.38,296.7,368.54,148.46,200.74,739.37,807.5,496.33,708.14,257.7,269.47,457.76,291.16,519.8,274.02,805.48,713.82,834.57,535.83,1051.62,574.7,834.78,1058.05,795.47,1406.73,481.11,663.02,1426.33,904.17,1066.42,520.26,980.11,1246.4,434.73,1132.31,1197.76,1995.31,925.74,2
232.21,204.09,151.68,240.1,93.64,265.34,215.74,138.32,242.95,248.51,224.89,173.2,134.44,445.39,193.96,70.92,114.97,237.45,179.78,162.37,184.28,92.89,129.4,195.07,310.02,182.79,93.03,113.79,138.79,177.23,111.14,94.78,115.2,105.36,80.46,62.03,157.28,163.01,76,80.97,57,142.57,133.82,79.5,78.44,96.65,37.64,137.37,119.51,113.86,120.51,157.28,215.91,225.96,265.36,168.87,170.16,180.02,292.95,198.01,177.02,195.37,288.68,213.43,247.77,329.79,184.94,340.8,193.91,145.7,448.21,144.55,215.31,190.73,262.96,224.07,209.51,303.21,471.43,162.76,337.3,190.08,223.43,533.78,264.4,373.61,389.92,257.79,337.28,430.07,286.8,183.6,238.7,206.47,196.83,259.63,303.98,262.24,218.32,253.79,174.95,158.66,144.3,1
1942.62,614.01,872.42,1650.8,2268.17,2923.12,3693.26,1480.49,3090.07,1806.71,1700.65,2611.09,1974.84,2138.38,1030.21,1891.07,1078.6,1542.34,1553.11,1358.57,1348.9,2992.84,666.4,971.01,1264.73,653.41,844.9,680.72,874.44,1407.32,1297.32,1152.43,1660.92,567.82,840.87,1070.94,1982.12,1682.38,1201.65,1436.52,887,726.41,1009.68,1127.74,950.68,1388.18,1397.54,695.59,1028.38,688.93,796.19,1982.12,5260.15,2405.86,1354.68,3678.64,762.21,4887.79,1119.4,3425.52,2454.48,1293.45,2208.43,1494.97,1327.61,1033.81,1951.3,2351.92,591.83,2223.22,2263.93,5039.38,1449.56,3442.28,1446.27,962.4,1412.98,2019.05,1534.71,3087.31,1099.48,3003.91,854.29,765.77,1818.96,640.47,830.56,1552.73,1105.17,2943.76,873.47,1996.19,1738.4,2709.59,1417.97,1623.42,876.94,1226.76,958.13,1265.06,998.78,809.66,1425.15,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,128.88,20,46,20,20,20,20,82.61,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1
90.845,94.195,283.535,984.93,42.335,162.82,63.325,83.21,116.055,280.41,60.11,62.095,30.88,228.47,24.62,41.345,47.105,88.505,43.45,51.36,37.495,45.9,59.845,253.59,52.355,50.495,49.385,70.42,69.39,1216.985,98.21,203.165,116.77,54.54,236.465,39.56,29.05,948.37,36.46,82.47,33.5,48.495,1483.56,145.26,111.515,278.585,27.41,90.12,38.915,273.18,160.68,29.05,117.345,99.865,21.36,44.44,44.3,47.195,123.19,32.825,50.545,21.52,29.055,22.295,21.355,136.76,40.055,20,25.755,25.65,67.61,20,37.8,63.265,29.975,36.65,41.705,50.2,107.05,33.18,80.545,107.175,60.08,145.25,26.84,125.33,53.365,20,81.14,81.035,36.9,55.08,86.58,24.68,75.12,37.885,88.895,32.1,23.345,32.45,29.315,33.655,28.74,1
