BR_BR8T,BR_BR10T,BR_BR14T,BR_BR16T,BR_BR18T,BR_BR20T,BR_BR6T,BR_BR15T,BR_BR21T,BR_BR29T,BR_BR31T,BR_BR32T,BR_U1,BR_U16,BR_UX6,BR_UX8,BR_UX19,BR_B24T,BR_B46T,BR_B30T,BR_B34T,BR_B36T,BR_B37T,BR_B38T,BR_B39T,BR_B41T,PR_PR28T,PR_PR13BT,PR_PR8T,PR_PR21T,PR_PR27T,PR_PR9T,PR_PR7T,PR_PR19T,PR_PR5T,PR_PR24T,PR_U38,PR_U41,PR_PR4,PR_PR3,PR_PR1,PR_PR10,PR_PR22,PR_PR12,PR_PR31,PR_PR30,PR_PR26,PR_PR16,PR_PR23,PR_PR4,PR_PR11,PR_PR17,LU_A_LU_A31T,LU_A_LU_A34T,LU_A_LU_A39T,LU_A_LU_A8T,LU_A_LU_A20T,LU_A_LU_A5T,LU_A_LU_A6T,LU_A_LU_A17T,LU_A_LU_A18T,LU_S_LU_S20T,LU_S_LU_S24T,LU_S_LU_S25T,LU_S_LU_S12T,LU_S_LU_S13T,LU_S_LU_S14T,LU_S_LU_S44T,LU_S_LU_S7T,LUA_U17,LUA_UX4,LUA_LU40T,LUA_LU44T,LUA_LU33T,LUS_U2,LUS_U50,LUS_LU41T,LUS_LU30T,LUS_LU26T,LUS_LU36T,CO_CO7T,CO_CO9T,CO_CO42T,CO_CO15T,CO_CO40T,CO_CO27T,CO_CO30T,CO_CO32T,CO_CO88T,CO_CO24T,CO_CO8T,CO_U6,CO_U12,CO_CO14T,CO_CO21T,CO_CO23T,CO_CO5T,CO_CO43T,CO_CO70T,CO_CO49T,CO_CO51T,CO_CO56T,CO_CO61T
196,20,20,63.3,24,20,20,481,116,87,185,476,205,65,237,181,175,58.9,276,246,106.1,174,20,106,27,20,20,20,74.4,106,144,68,196,20,20,63.3,24,20,20,481,116,87,185,476,205,65,237,181,175,58.9,276,246,106.1,174,20,106,27,20,20,20,74.4,106,144,68,196,20,20,63.3,24,20,20,481,116,87,185,476,205,65,237,181,175,58.9,276,246,106.1,174,20,106,27,20,20,20,74.4,106,144,68,196,20,20,63.3,24,20,20
150.5,182.5,239,94.5,25.5,77,103.65,174.5,54.5,140.5,123.5,28.5,129,88,171.5,361.5,265,100.5,233.5,159,102.05,155.5,63.5,154,121.5,85.5,69,20,56.2,27.5,110.5,99,150.5,182.5,239,94.5,25.5,77,103.65,174.5,54.5,140.5,123.5,28.5,129,88,171.5,361.5,265,100.5,233.5,159,102.05,155.5,63.5,154,121.5,85.5,69,20,56.2,27.5,110.5,99,150.5,182.5,239,94.5,25.5,77,103.65,174.5,54.5,140.5,123.5,28.5,129,88,171.5,361.5,265,100.5,233.5,159,102.05,155.5,63.5,154,121.5,85.5,69,20,56.2,27.5,110.5,99,150.5,182.5,239,94.5,25.5,77,103.65
20,20,81,20,29,20,116,20,20,161,103,72,32,52,20,20,20,20,20,20,20,38,20,20,20,20,20,20,20,20,20,20,20,20,81,20,29,20,116,20,20,161,103,72,32,52,20,20,20,20,20,20,20,38,20,20,20,20,20,20,20,20,20,20,20,20,81,20,29,20,116,20,20,161,103,72,32,52,20,20,20,20,20,20,20,38,20,20,20,20,20,20,20,20,20,20,20,20,81,20,29,20,116
1405,2480,2330,1066,645,911,1526,1705,707,1458,1818,255,253,729,1227,2781,749,1402,1558,168,116,2715,1090,1376,2355,1487,2771,541,378,673,1118,1589,1405,2480,2330,1066,645,911,1526,1705,707,1458,1818,255,253,729,1227,2781,749,1402,1558,168,116,2715,1090,1376,2355,1487,2771,541,378,673,1118,1589,1405,2480,2330,1066,645,911,1526,1705,707,1458,1818,255,253,729,1227,2781,749,1402,1558,168,116,2715,1090,1376,2355,1487,2771,541,378,673,1118,1589,1405,2480,2330,1066,645,911,1526
422,532,330,168,20,442,1350,274,472,1543,1858,346,42,584,338,670,124,65,185,107,20,901,211,2773,57,143,1104,20,99,20,85,20,422,532,330,168,20,442,1350,274,472,1543,1858,346,42,584,338,670,124,65,185,107,20,901,211,2773,57,143,1104,20,99,20,85,20,422,532,330,168,20,442,1350,274,472,1543,1858,346,42,584,338,670,124,65,185,107,20,901,211,2773,57,143,1104,20,99,20,85,20,422,532,330,168,20,442,1350
1654,3081,3249,897.7,36,1565,2098.6,2686,808,1360,2335,1252,645,632,1731,5479,1355,249.2,2727,120,88.8,1989,33,463,1416,790,306,21,184.4,188,394,513.3,1654,3081,3249,897.7,36,1565,2098.6,2686,808,1360,2335,1252,645,632,1731,5479,1355,249.2,2727,120,88.8,1989,33,463,1416,790,306,21,184.4,188,394,513.3,1654,3081,3249,897.7,36,1565,2098.6,2686,808,1360,2335,1252,645,632,1731,5479,1355,249.2,2727,120,88.8,1989,33,463,1416,790,306,21,184.4,188,394,513.3,1654,3081,3249,897.7,36,1565,2098.6
1111,1522,1009,257,20,216,594,254,130,553,1165,92,59,181,759,2815,222,98,451,20,20,497,20,86,424,102,140,20,20,20,60,69,1111,1522,1009,257,20,216,594,254,130,553,1165,92,59,181,759,2815,222,98,451,20,20,497,20,86,424,102,140,20,20,20,60,69,1111,1522,1009,257,20,216,594,254,130,553,1165,92,59,181,759,2815,222,98,451,20,20,497,20,86,424,102,140,20,20,20,60,69,1111,1522,1009,257,20,216,594
890,1801,1483,890,157,749,1941,1693,960,1467,1914,163,242,752,1953,3370,756,997,1301,282,134,2769,818,1839,2085,1036,2056,138,465,559,840,1039,890,1801,1483,890,157,749,1941,1693,960,1467,1914,163,242,752,1953,3370,756,997,1301,282,134,2769,818,1839,2085,1036,2056,138,465,559,840,1039,890,1801,1483,890,157,749,1941,1693,960,1467,1914,163,242,752,1953,3370,756,997,1301,282,134,2769,818,1839,2085,1036,2056,138,465,559,840,1039,890,1801,1483,890,157,749,1941
20,20,20,20,20,20,20,20,32,20,20,211,20,20,20,20,20,20,20,20,119,20,20,20,20,20,20,20,20,20,20,45,20,20,20,20,20,20,20,20,32,20,20,211,20,20,20,20,20,20,20,20,119,20,20,20,20,20,20,20,20,20,20,45,20,20,20,20,20,20,20,20,32,20,20,211,20,20,20,20,20,20,20,20,119,20,20,20,20,20,20,20,20,20,20,45,20,20,20,20,20,20,20
6526,7792.33333,7247.66667,6082.16667,820.66667,6212.66667,6086.83333,6425.33333,4817.33333,4668,6802.66667,5727.33333,5050.66667,3247,8078,9399.66667,6403,6601,6881.33333,1479,1441.9,7976.33333,5677,6854.33333,6862,6370.66667,7162.33333,3530.66667,3472.76667,5854.33333,1647.33333,5881,6526,7792.33333,7247.66667,6082.16667,820.66667,6212.66667,6086.83333,6425.33333,4817.33333,4668,6802.66667,5727.33333,5050.66667,3247,8078,9399.66667,6403,6601,6881.33333,1479,1441.9,7976.33333,5677,6854.33333,6862,6370.66667,7162.33333,3530.66667,3472.76667,5854.33333,1647.33333,5881,6526,7792.33333,7247.66667,6082.16667,820.66667,6212.66667,6086.83333,6425.33333,4817.33333,4668,6802.66667,5727.33333,5050.66667,3247,8078,9399.66667,6403,6601,6881.33333,1479,1441.9,7976.33333,5677,6854.33333,6862,6370.66667,7162.33333,3530.66667,3472.76667,5854.33333,1647.33333,5881,6526,7792.33333,7247.66667,6082.16667,820.66667,6212.66667,6086.83333
131,251,171,47,20,146,623,124,86,453,387,45,20,99,347,525,313,129,328,23,34,122,20,68,122,65,62,20,31,20,63,30,131,251,171,47,20,146,623,124,86,453,387,45,20,99,347,525,313,129,328,23,34,122,20,68,122,65,62,20,31,20,63,30,131,251,171,47,20,146,623,124,86,453,387,45,20,99,347,525,313,129,328,23,34,122,20,68,122,65,62,20,31,20,63,30,131,251,171,47,20,146,623
383,189,492,243,24,255,473,287,206,314,502,150,136,157,584,1796,242,195,380,89,55,1163,61,1049,722,379,641,75,91,128,296,299,383,189,492,243,24,255,473,287,206,314,502,150,136,157,584,1796,242,195,380,89,55,1163,61,1049,722,379,641,75,91,128,296,299,383,189,492,243,24,255,473,287,206,314,502,150,136,157,584,1796,242,195,380,89,55,1163,61,1049,722,379,641,75,91,128,296,299,383,189,492,243,24,255,473
662,961,923,588,30,325,769,402,537,1151,1221,112,227,559,889,3340,213,54,660,82,26,895,39,371,456,146,170,32,158,104,219,190,662,961,923,588,30,325,769,402,537,1151,1221,112,227,559,889,3340,213,54,660,82,26,895,39,371,456,146,170,32,158,104,219,190,662,961,923,588,30,325,769,402,537,1151,1221,112,227,559,889,3340,213,54,660,82,26,895,39,371,456,146,170,32,158,104,219,190,662,961,923,588,30,325,769
429,308,396,306,50,173,296,296,368,337,375,159,171,188,393,485,182,102,277,137,83,405,94,409,346,162,102,57,178,125,251,159,429,308,396,306,50,173,296,296,368,337,375,159,171,188,393,485,182,102,277,137,83,405,94,409,346,162,102,57,178,125,251,159,429,308,396,306,50,173,296,296,368,337,375,159,171,188,393,485,182,102,277,137,83,405,94,409,346,162,102,57,178,125,251,159,429,308,396,306,50,173,296
290,499,513,191,20,229,531,329,183,554,796,32,103,180,303,958,131,20,243,20,20,568,20,173,269,134,110,20,20,20,80,117,290,499,513,191,20,229,531,329,183,554,796,32,103,180,303,958,131,20,243,20,20,568,20,173,269,134,110,20,20,20,80,117,290,499,513,191,20,229,531,329,183,554,796,32,103,180,303,958,131,20,243,20,20,568,20,173,269,134,110,20,20,20,80,117,290,499,513,191,20,229,531
20,93,20,25,20,27,20,20,31,20,33,20,20,20,59,69,77,32,140,53,20,40,48,24,58,20,20,20,20,20,20,20,20,93,20,25,20,27,20,20,31,20,33,20,20,20,59,69,77,32,140,53,20,40,48,24,58,20,20,20,20,20,20,20,20,93,20,25,20,27,20,20,31,20,33,20,20,20,59,69,77,32,140,53,20,40,48,24,58,20,20,20,20,20,20,20,20,93,20,25,20,27,20
255,835,1036,238,20,102,595.7,773,108,100,351,278,20,65,406,807,1258,20,1488,219,20,823,20,69,360,20,20,82,146.5,462,156,113,255,835,1036,238,20,102,595.7,773,108,100,351,278,20,65,406,807,1258,20,1488,219,20,823,20,69,360,20,20,82,146.5,462,156,113,255,835,1036,238,20,102,595.7,773,108,100,351,278,20,65,406,807,1258,20,1488,219,20,823,20,69,360,20,20,82,146.5,462,156,113,255,835,1036,238,20,102,595.7
1181,481,681,360,20,169,445,794,232,460,652,55,75,212,1781,3988,477,433,1316,20,20,1122,424,748,1935,647,714,183,142,244,756,336,1181,481,681,360,20,169,445,794,232,460,652,55,75,212,1781,3988,477,433,1316,20,20,1122,424,748,1935,647,714,183,142,244,756,336,1181,481,681,360,20,169,445,794,232,460,652,55,75,212,1781,3988,477,433,1316,20,20,1122,424,748,1935,647,714,183,142,244,756,336,1181,481,681,360,20,169,445
589.5,628,1449,586.35,87.5,673,705.9,1169,681.5,733,704,639.5,858,308,1205,1468,768,273.95,997,364.5,248.4,842,130.5,547.5,803,458,380,41,192.75,437,433.5,319.8,589.5,628,1449,586.35,87.5,673,705.9,1169,681.5,733,704,639.5,858,308,1205,1468,768,273.95,997,364.5,248.4,842,130.5,547.5,803,458,380,41,192.75,437,433.5,319.8,589.5,628,1449,586.35,87.5,673,705.9,1169,681.5,733,704,639.5,858,308,1205,1468,768,273.95,997,364.5,248.4,842,130.5,547.5,803,458,380,41,192.75,437,433.5,319.8,589.5,628,1449,586.35,87.5,673,705.9
320,20,20,168.2,20,355,20,20,624,205,20,20,543,350,20,20,20,20,714,20,20,20,20,605,20,266,20,20,20,43,20,20,320,20,20,168.2,20,355,20,20,624,205,20,20,543,350,20,20,20,20,714,20,20,20,20,605,20,266,20,20,20,43,20,20,320,20,20,168.2,20,355,20,20,624,205,20,20,543,350,20,20,20,20,714,20,20,20,20,605,20,266,20,20,20,43,20,20,320,20,20,168.2,20,355,20
126,303,751,109.4,29,102,262,267,112,201,467,50,20,64,225,259,275,169.8,692,20,20,320,55,63,281,208,171,35,45.5,76,85,76.5,126,303,751,109.4,29,102,262,267,112,201,467,50,20,64,225,259,275,169.8,692,20,20,320,55,63,281,208,171,35,45.5,76,85,76.5,126,303,751,109.4,29,102,262,267,112,201,467,50,20,64,225,259,275,169.8,692,20,20,320,55,63,281,208,171,35,45.5,76,85,76.5,126,303,751,109.4,29,102,262
114,37,20,20,41,20,20,20,20,129,20,20,20,88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,114,37,20,20,41,20,20,20,20,129,20,20,20,88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,114,37,20,20,41,20,20,20,20,129,20,20,20,88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,114,37,20,20,41,20,20
20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32,20,20,20,20,20,20,20,169,30.2,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32,20,20,20,20,20,20,20,169,30.2,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32,20,20,20,20,20,20,20,169,30.2,20,20,20,20,21,20,20
460,682,702,389.9,35,234,417.5,694,20,228,141,145,137,20,20,883,406,32.5,1362,20,20,1231,20,184,669,381,336,20,71.4,20,20,287.5,460,682,702,389.9,35,234,417.5,694,20,228,141,145,137,20,20,883,406,32.5,1362,20,20,1231,20,184,669,381,336,20,71.4,20,20,287.5,460,682,702,389.9,35,234,417.5,694,20,228,141,145,137,20,20,883,406,32.5,1362,20,20,1231,20,184,669,381,336,20,71.4,20,20,287.5,460,682,702,389.9,35,234,417.5
567,394,395,308,78,235,420,525,418,432,388,119,94,287,691,606,319,327,670,183,102,379,198,610,456,333,294,204,339,252,371,152,567,394,395,308,78,235,420,525,418,432,388,119,94,287,691,606,319,327,670,183,102,379,198,610,456,333,294,204,339,252,371,152,567,394,395,308,78,235,420,525,418,432,388,119,94,287,691,606,319,327,670,183,102,379,198,610,456,333,294,204,339,252,371,152,567,394,395,308,78,235,420
543,1103,1532,585,116,573,744,937,621,923,1056,139,119,508,748,1353,95,410,769,20,20,1258,338,605,1137,603,1039,20,121,160,327,523,543,1103,1532,585,116,573,744,937,621,923,1056,139,119,508,748,1353,95,410,769,20,20,1258,338,605,1137,603,1039,20,121,160,327,523,543,1103,1532,585,116,573,744,937,621,923,1056,139,119,508,748,1353,95,410,769,20,20,1258,338,605,1137,603,1039,20,121,160,327,523,543,1103,1532,585,116,573,744
514,762,1024,489,249,671,734,753,457,1193,1186,201,162,449,683,1519,337,722,898,64,20,1225,554,578,873,379,737,229,162,83,403,459,514,762,1024,489,249,671,734,753,457,1193,1186,201,162,449,683,1519,337,722,898,64,20,1225,554,578,873,379,737,229,162,83,403,459,514,762,1024,489,249,671,734,753,457,1193,1186,201,162,449,683,1519,337,722,898,64,20,1225,554,578,873,379,737,229,162,83,403,459,514,762,1024,489,249,671,734
88,100,111,20,20,20,193,32,20,100,199,73,71,20,94,301,20,36,24,185,46,222,33,157,131,76,59,44,101,20,73,68,88,100,111,20,20,20,193,32,20,100,199,73,71,20,94,301,20,36,24,185,46,222,33,157,131,76,59,44,101,20,73,68,88,100,111,20,20,20,193,32,20,100,199,73,71,20,94,301,20,36,24,185,46,222,33,157,131,76,59,44,101,20,73,68,88,100,111,20,20,20,193
286,495,883,296,85,265,731,507,263,574,800,63,78,257,460,921,132,341,283,20,20,939,243,422,794,511,734,40,123,114,504,365,286,495,883,296,85,265,731,507,263,574,800,63,78,257,460,921,132,341,283,20,20,939,243,422,794,511,734,40,123,114,504,365,286,495,883,296,85,265,731,507,263,574,800,63,78,257,460,921,132,341,283,20,20,939,243,422,794,511,734,40,123,114,504,365,286,495,883,296,85,265,731
20,137,57,20,20,69,195,106,20,84,43,31,20,31,132,309,20,235,237,20,20,65,68,66,20,29,72,20,20,74,80,20,20,137,57,20,20,69,195,106,20,84,43,31,20,31,132,309,20,235,237,20,20,65,68,66,20,29,72,20,20,74,80,20,20,137,57,20,20,69,195,106,20,84,43,31,20,31,132,309,20,235,237,20,20,65,68,66,20,29,72,20,20,74,80,20,20,137,57,20,20,69,195
459,540,1036,491,109,380,500,847,308,434,592,191,216,181,551,1458,177,329,405,31,48,930,155,607,721,492,613,59,121,161,392,319,459,540,1036,491,109,380,500,847,308,434,592,191,216,181,551,1458,177,329,405,31,48,930,155,607,721,492,613,59,121,161,392,319,459,540,1036,491,109,380,500,847,308,434,592,191,216,181,551,1458,177,329,405,31,48,930,155,607,721,492,613,59,121,161,392,319,459,540,1036,491,109,380,500
487,392,463,297,138,248,331,293,379,506,491,233,111,224,371,1233,160,264,533,297,174,762,181,595,449,457,514,100,165,241,441,375,487,392,463,297,138,248,331,293,379,506,491,233,111,224,371,1233,160,264,533,297,174,762,181,595,449,457,514,100,165,241,441,375,487,392,463,297,138,248,331,293,379,506,491,233,111,224,371,1233,160,264,533,297,174,762,181,595,449,457,514,100,165,241,441,375,487,392,463,297,138,248,331
92,93,130,111,42,69,70,114,170,83,155,48,38,129,112,160,71,162,97,177,142,150,20,124,97,69,44,85,86,121,96,48,92,93,130,111,42,69,70,114,170,83,155,48,38,129,112,160,71,162,97,177,142,150,20,124,97,69,44,85,86,121,96,48,92,93,130,111,42,69,70,114,170,83,155,48,38,129,112,160,71,162,97,177,142,150,20,124,97,69,44,85,86,121,96,48,92,93,130,111,42,69,70
20,20,20,20,20,20,20,92,20,201,20,20,20,20,20,20,20,47.2,50,20,20,20,48,20,20,20,214,20,20,20,20,20,20,20,20,20,20,20,20,92,20,201,20,20,20,20,20,20,20,47.2,50,20,20,20,48,20,20,20,214,20,20,20,20,20,20,20,20,20,20,20,20,92,20,201,20,20,20,20,20,20,20,47.2,50,20,20,20,48,20,20,20,214,20,20,20,20,20,20,20,20,20,20,20,20
20,98,20,20,28,20,20,20,20,189,28,20,20,110,20,398,20,20,20,67,20,169,24,20,20,20,104,20,20,20,20,20,20,98,20,20,28,20,20,20,20,189,28,20,20,110,20,398,20,20,20,67,20,169,24,20,20,20,104,20,20,20,20,20,20,98,20,20,28,20,20,20,20,189,28,20,20,110,20,398,20,20,20,67,20,169,24,20,20,20,104,20,20,20,20,20,20,98,20,20,28,20,20
59,82,133,45,26,50,20,20,20,20,20,21,20,20,20,57,20,20,83,20,20,20,20,20,103,20,23,20,20,20,20,20,59,82,133,45,26,50,20,20,20,20,20,21,20,20,20,57,20,20,83,20,20,20,20,20,103,20,23,20,20,20,20,20,59,82,133,45,26,50,20,20,20,20,20,21,20,20,20,57,20,20,83,20,20,20,20,20,103,20,23,20,20,20,20,20,59,82,133,45,26,50,20
530,460.5,576,367.65,75.5,273.5,235,455,341,252,446,888,418,168,367,832.5,185,101.75,464.5,219.5,106.25,321.5,69.5,195,335.5,185.5,87.5,76.5,161.75,77,278,202.65,530,460.5,576,367.65,75.5,273.5,235,455,341,252,446,888,418,168,367,832.5,185,101.75,464.5,219.5,106.25,321.5,69.5,195,335.5,185.5,87.5,76.5,161.75,77,278,202.65,530,460.5,576,367.65,75.5,273.5,235,455,341,252,446,888,418,168,367,832.5,185,101.75,464.5,219.5,106.25,321.5,69.5,195,335.5,185.5,87.5,76.5,161.75,77,278,202.65,530,460.5,576,367.65,75.5,273.5,235
455,1046,1407,604.8,20,699,970.1,739,470,261,554,1478,813,291,1094,1138,1107,533.8,1218,984,445.2,1669,366,376,854,350,454,609,834.8,352,563,182.8,455,1046,1407,604.8,20,699,970.1,739,470,261,554,1478,813,291,1094,1138,1107,533.8,1218,984,445.2,1669,366,376,854,350,454,609,834.8,352,563,182.8,455,1046,1407,604.8,20,699,970.1,739,470,261,554,1478,813,291,1094,1138,1107,533.8,1218,984,445.2,1669,366,376,854,350,454,609,834.8,352,563,182.8,455,1046,1407,604.8,20,699,970.1
38,42,30,40,20,46,20,110,141,82,115,20,53,139,20,256,20,20,20,84,20,300,20,145,129,20,20,20,20,20,232,20,38,42,30,40,20,46,20,110,141,82,115,20,53,139,20,256,20,20,20,84,20,300,20,145,129,20,20,20,20,20,232,20,38,42,30,40,20,46,20,110,141,82,115,20,53,139,20,256,20,20,20,84,20,300,20,145,129,20,20,20,20,20,232,20,38,42,30,40,20,46,20
618,1250,1140,507,107,247,476,443,353,470,693,153,60,408,436,1093,216,200,282,55,71,728,49,291,459,252,215,42,76,133,312,269,618,1250,1140,507,107,247,476,443,353,470,693,153,60,408,436,1093,216,200,282,55,71,728,49,291,459,252,215,42,76,133,312,269,618,1250,1140,507,107,247,476,443,353,470,693,153,60,408,436,1093,216,200,282,55,71,728,49,291,459,252,215,42,76,133,312,269,618,1250,1140,507,107,247,476
147,238,254,126.1,26,40,196.35,181.5,107,185.5,249.5,169,153,70,192.5,221.5,109,61.4,307.5,100.5,88.1,357,22.5,73.5,141,77,55.5,20,49.8,163.5,107.5,75.95,147,238,254,126.1,26,40,196.35,181.5,107,185.5,249.5,169,153,70,192.5,221.5,109,61.4,307.5,100.5,88.1,357,22.5,73.5,141,77,55.5,20,49.8,163.5,107.5,75.95,147,238,254,126.1,26,40,196.35,181.5,107,185.5,249.5,169,153,70,192.5,221.5,109,61.4,307.5,100.5,88.1,357,22.5,73.5,141,77,55.5,20,49.8,163.5,107.5,75.95,147,238,254,126.1,26,40,196.35
414,421,502,210,36,276,376.6,474,192,141,400,303,349,84,603,647,544,218.8,733,262,145.7,648,217,307,513,235,346,113,187.9,126,20,260.1,414,421,502,210,36,276,376.6,474,192,141,400,303,349,84,603,647,544,218.8,733,262,145.7,648,217,307,513,235,346,113,187.9,126,20,260.1,414,421,502,210,36,276,376.6,474,192,141,400,303,349,84,603,647,544,218.8,733,262,145.7,648,217,307,513,235,346,113,187.9,126,20,260.1,414,421,502,210,36,276,376.6
662,78,1192,423.2,50,804,1401.3,1635,487,617,1015,1529,1059,304,1037,1017,163,443.4,919,350,194.5,764,341,455,1049,418,572,229,456.4,582,369,329.2,662,78,1192,423.2,50,804,1401.3,1635,487,617,1015,1529,1059,304,1037,1017,163,443.4,919,350,194.5,764,341,455,1049,418,572,229,456.4,582,369,329.2,662,78,1192,423.2,50,804,1401.3,1635,487,617,1015,1529,1059,304,1037,1017,163,443.4,919,350,194.5,764,341,455,1049,418,572,229,456.4,582,369,329.2,662,78,1192,423.2,50,804,1401.3
105,241,155.5,44.7,20,172.5,224.6,231,38.5,142,239.5,315,104,53,152.5,211,130.5,20,160,46,26.25,387.5,31,45,176.5,128,90,20,61.75,73.5,43.5,107.8,105,241,155.5,44.7,20,172.5,224.6,231,38.5,142,239.5,315,104,53,152.5,211,130.5,20,160,46,26.25,387.5,31,45,176.5,128,90,20,61.75,73.5,43.5,107.8,105,241,155.5,44.7,20,172.5,224.6,231,38.5,142,239.5,315,104,53,152.5,211,130.5,20,160,46,26.25,387.5,31,45,176.5,128,90,20,61.75,73.5,43.5,107.8,105,241,155.5,44.7,20,172.5,224.6
240,167,698,20,47,20,20,291,20,513,469,20,362,277,20,1047,249,308.5,952,20,20,347,314,480,935,311,591,20,20,372,597,528.3,240,167,698,20,47,20,20,291,20,513,469,20,362,277,20,1047,249,308.5,952,20,20,347,314,480,935,311,591,20,20,372,597,528.3,240,167,698,20,47,20,20,291,20,513,469,20,362,277,20,1047,249,308.5,952,20,20,347,314,480,935,311,591,20,20,372,597,528.3,240,167,698,20,47,20,20
530,1141,20,143.5,70,546,826.7,939,318,467,1126,81,176,237,313,950,1000,573,1762,20,20,838,313,162,1285,537,506,20,65.5,220,813,693.2,530,1141,20,143.5,70,546,826.7,939,318,467,1126,81,176,237,313,950,1000,573,1762,20,20,838,313,162,1285,537,506,20,65.5,220,813,693.2,530,1141,20,143.5,70,546,826.7,939,318,467,1126,81,176,237,313,950,1000,573,1762,20,20,838,313,162,1285,537,506,20,65.5,220,813,693.2,530,1141,20,143.5,70,546,826.7
229,170,186,250,69,207,159,230,215,91,147,20,20,183,358,500,82,335,360,131,20,205,299,405,154,164,261,67,254,110,299,171,229,170,186,250,69,207,159,230,215,91,147,20,20,183,358,500,82,335,360,131,20,205,299,405,154,164,261,67,254,110,299,171,229,170,186,250,69,207,159,230,215,91,147,20,20,183,358,500,82,335,360,131,20,205,299,405,154,164,261,67,254,110,299,171,229,170,186,250,69,207,159
1476,2657,2589,1324,172,1186,2029,2236,1351,2893,3471,487,303,1393,2684,5345,782,1001,2365,20,57,2540,212,2073,1470,722,1329,22,192,330,775,540,1476,2657,2589,1324,172,1186,2029,2236,1351,2893,3471,487,303,1393,2684,5345,782,1001,2365,20,57,2540,212,2073,1470,722,1329,22,192,330,775,540,1476,2657,2589,1324,172,1186,2029,2236,1351,2893,3471,487,303,1393,2684,5345,782,1001,2365,20,57,2540,212,2073,1470,722,1329,22,192,330,775,540,1476,2657,2589,1324,172,1186,2029
644,1037,914,587.2,20,816,917.9,1186,309,107,411,966,85,140,1050,874,465,189.6,586,58,85.5,1183,235,74,744,544,331,287,560.9,511,868,229.8,644,1037,914,587.2,20,816,917.9,1186,309,107,411,966,85,140,1050,874,465,189.6,586,58,85.5,1183,235,74,744,544,331,287,560.9,511,868,229.8,644,1037,914,587.2,20,816,917.9,1186,309,107,411,966,85,140,1050,874,465,189.6,586,58,85.5,1183,235,74,744,544,331,287,560.9,511,868,229.8,644,1037,914,587.2,20,816,917.9
1201.5,1591,1852,1144.6,35,1401.5,1379.8,2470,1307,1020.5,1008.5,1493.5,852.5,560,2055.5,1942.5,1235,639.15,2765,815.5,355.2,2058.5,564,628,1721.5,783.5,769,365,570.35,625,675.5,682.75,1201.5,1591,1852,1144.6,35,1401.5,1379.8,2470,1307,1020.5,1008.5,1493.5,852.5,560,2055.5,1942.5,1235,639.15,2765,815.5,355.2,2058.5,564,628,1721.5,783.5,769,365,570.35,625,675.5,682.75,1201.5,1591,1852,1144.6,35,1401.5,1379.8,2470,1307,1020.5,1008.5,1493.5,852.5,560,2055.5,1942.5,1235,639.15,2765,815.5,355.2,2058.5,564,628,1721.5,783.5,769,365,570.35,625,675.5,682.75,1201.5,1591,1852,1144.6,35,1401.5,1379.8
300,612,1269,403,157,192,159,262,129,94,143,127,28,129,3872,3673,1273,1922,2420,463,250,522,93,117,519,216,209,163,74,44,20,199,300,612,1269,403,157,192,159,262,129,94,143,127,28,129,3872,3673,1273,1922,2420,463,250,522,93,117,519,216,209,163,74,44,20,199,300,612,1269,403,157,192,159,262,129,94,143,127,28,129,3872,3673,1273,1922,2420,463,250,522,93,117,519,216,209,163,74,44,20,199,300,612,1269,403,157,192,159
97,73,140,109,23,75,78,141,104,86,139,74,110,20,255,619,201,100,186,213,75,177,74,237,179,136,144,148,77,91,76,27,97,73,140,109,23,75,78,141,104,86,139,74,110,20,255,619,201,100,186,213,75,177,74,237,179,136,144,148,77,91,76,27,97,73,140,109,23,75,78,141,104,86,139,74,110,20,255,619,201,100,186,213,75,177,74,237,179,136,144,148,77,91,76,27,97,73,140,109,23,75,78
337,246,479,250,48,290,472,442,633,361,511,211,139,121,735,894,225,256,504,348,204,608,197,426,397,396,183,307,157,255,229,134,337,246,479,250,48,290,472,442,633,361,511,211,139,121,735,894,225,256,504,348,204,608,197,426,397,396,183,307,157,255,229,134,337,246,479,250,48,290,472,442,633,361,511,211,139,121,735,894,225,256,504,348,204,608,197,426,397,396,183,307,157,255,229,134,337,246,479,250,48,290,472
912,1346,2366,219.9,167,298,549.1,1490,1032,705,1182,1639,497,71,1311,3205,1608,1152.7,2326,396,423.3,2380,629,916,1644,988,992,1885,671.7,721,3679,1066.6,912,1346,2366,219.9,167,298,549.1,1490,1032,705,1182,1639,497,71,1311,3205,1608,1152.7,2326,396,423.3,2380,629,916,1644,988,992,1885,671.7,721,3679,1066.6,912,1346,2366,219.9,167,298,549.1,1490,1032,705,1182,1639,497,71,1311,3205,1608,1152.7,2326,396,423.3,2380,629,916,1644,988,992,1885,671.7,721,3679,1066.6,912,1346,2366,219.9,167,298,549.1
